Nombre,URL,Info,Departamento,Categoria,Municipio,Decreto
Antiguo Templo Parroquial,,,Huila,Categoría Religiosa,Nàtaga,Ord. 025 de 1993 - 040 de 2001
Capilla Antigua de Valvanera,,,Huila,Categoría Religiosa,Pitalito,Ord. 007 de 1993 - 040 de 2001
Capilla Colonial de Rioloro,,,Huila,Categoría Religiosa,Gigante,Ord. 007 de 1992
Capilla de Los Santos Apóstoles,,,Huila,Categoría Religiosa,Agrado,Ord. 007 de 1992
Capilla de San Andrés,,,Huila,Categoría Religiosa,La Plata,Ord. 007 de 1993 - 040 de 2001
Capilla de Santa Bárbara,,,Huila,Categoría Religiosa,Villavieja,Ord. 007 de 1992 BICN
Capilla de Santa Lucía,,,Huila,Categoría Religiosa,Guadalupe,Ord. 007 de 1992
Capilla de Taperas,,,Huila,Categoría Religiosa,Agrado,Ord. 007 de 1992
Capilla de Tobo,,,Huila,Categoría Religiosa,Timaná,Ord. 007 de 1992
Capilla de la Trinidad,,,Huila,Categoría Religiosa,Pital,Ord. 007 de 1992
Casa Cural,,,Huila,Categoría Domestica,Agrado,Ord. 025 de 1993 - 040 de 2001
Casa Cural Antigua,,,Huila,Categoría Religiosa,Gigante,Ord. 007 de 1992
Casa Cural Antigua,,,Huila,Categoría Religiosa,Tarqui,Ord. 007 de 1992
Casa Cural Antigua,,,Huila,Categoría Religiosa,Villavieja,Ord. 007 de 1992
Casa Hacienda Buenavista,,,Huila,Categoría Hacienda,Agrado,Ord. 007 de 1992
Casa Hacienda El Ancón,,,Huila,Categoría Hacienda,Gigante,Ord. 007 de 1992
Casa Hacienda El Tabor,,,Huila,Categoría Domestica,Agrado,Ord. 025 de 1993 - 040 de 2001
Casa Hacienda de Matamundo,,,Huila,Categoría Hacienda,Neiva,Ord. 007 de 1992
Casa Municipal,,,Huila,Categoría Institucional,Pitalito,Ord. 007 de 1992
Casa Museo Juan Friede,http://turismo.huila.gov.co/museo/4,,Huila,Categoria Museos,San Agustín,
Casa Museo Parque Arqueológico,,,Huila,Categoría Institucional,San Agustín,Ord. 040 de 2001
Casa Museo Sombrero de suaza,http://turismo.huila.gov.co/museo/58,,Huila,Categoria Museos,Suaza,
"Casa Natal de Adriano Perdomo, fundador de la Cruz Roja",,,Huila,Categoría Domestica,Yaguará,Ord. 007 de 1992
Casa antigua del Exgobernador Federico Arboleda,,,Huila,Categoría Domestica,Pitalito,Ord. 007 de 1992
Casa de Bolívar,,,Huila,Categoría Domestica,La Plata,Ord. 007 de 1992
Casa de Francisco de Paula Plazas,,,Huila,Categoría Domestica,Villavieja,Ord. 025 de 1993
Casa de Lucila Rozo,,,Huila,Categoría Domestica,Pitalito,Ord. 007 de 1992
Casa de la Cultura,,,Huila,Categoría Institucional,San Agustín,Ord. 040 de 2001
Casa natal Monseñor Ismael Perdomo,,,Huila,Categoría Domestica,Gigante,BICN
Catedral,,,Huila,Categoría Religiosa,Garzón,Ord. 007 de 1992
Cementerio,,,Huila,Categoría Religiosa,Garzón,Ord. 025 de 1993 - 040 de 2001
Colegio Departamental Divino Salvador,,,Huila,Categoría Institucional,Altamira,Ord. 025 de 1993 - 040 de 2001
Colegio Gabriel plazas,,,Huila,Categoría Institucional,Villavieja,Ord. 025 de 1993
Colegio San Luís Gonzaga,,,Huila,Categoría Institucional,Elías,Ord. 025 de 1993 - 040 de 2001
Colegio de Santa Librada,,,Huila,Categoría Institucional,Neiva,BICN
Colegio de la Anunciación,,,Huila,Categoría Institucional,Timaná,Ord. 025 de 1993 - 040 de 2001
Edificio Nacional,,,Huila,Categoría Institucional,Neiva,Ord. 007 de 1992
Estación de Ferrocarril,,,Huila,Categoría Ferroviaria,Neiva,Ord. 007 de 1992
Estación de Fortalecillas,,,Huila,Categoría Ferroviaria,Neiva,Ord. 025 de 1993 - 040 de 2001
Estación de Golondrinas,,,Huila,Categoría Ferroviaria,Villavieja,BICN
Estación de Potosí,,,Huila,Categoría Ferroviaria,Villavieja,Ord. 025 de 1993
Estación del Ferrocarril,,,Huila,Categoría Ferroviaria,Villavieja,Ord. 025 de 1993 - BICN
Gruta de Santa Rosalía,,,Huila,Categoría Religiosa,Palermo,Ord. 025 de 1993 - 040 de 2001
Hacienda El Juncal,,,Huila,Categoría Hacienda,Paicol,Ord. 007 de 1993 - 040 de 2001
Hacienda La Lindosa,,,Huila,Categoría Hacienda,La Plata,Ord. 007 de 1993 - 040 de 2001
Iglesia,,,Huila,Categoría Religiosa,Agrado,Ord. 025 de 1993 - 040 de 2001
Iglesia Central,,,Huila,Categoría Religiosa,San Agustín,Ord. 007 de 1993 - 040 de 2001
Iglesia Colonial,,,Huila,Categoría Religiosa,Neiva,Ord. 007 de 1992
Iglesia Nuestra Señora del Carmen,,,Huila,Categoría Religiosa,Santa María,Ord. 040 de 2001
Iglesia Parroquial,,,Huila,Categoría Religiosa,Aipe,Ord. 007 de 1992
Iglesia Parroquial,,,Huila,Categoría Religiosa,Elías,Ord. 007 de 1992
Iglesia Parroquial,,,Huila,Categoría Religiosa,Gigante,BICN
Iglesia Parroquial,,,Huila,Categoría Religiosa,Guadalupe,Ord. 025 de 1993 - 040 de 2001
Iglesia Parroquial,,,Huila,Categoría Religiosa,La Plata,Ord. 025 de 1993 - 040 de 2001
Iglesia Parroquial,,,Huila,Categoría Religiosa,Nàtaga,Ord. 007 de 1992
Iglesia Parroquial,,,Huila,Categoría Religiosa,Pital,Ord. 007 de 1992
Iglesia Parroquial,,,Huila,Categoría Religiosa,Tarqui,Ord. 007 de 1992
Iglesia Parroquial,,,Huila,Categoría Religiosa,Timaná,Ord. 007 de 1992
Iglesia de La Jagua,,,Huila,Categoría Religiosa,Garzón,Ord. 007 de 1992
Iglesia de Naranjal,,,Huila,Categoría Religiosa,Timaná,Ord. 007 de 1992
Iglesia de Nazareth,,,Huila,Categoría Religiosa,Garzón,Ord. 025 de 1993 - 040 de 2001
Iglesia de San Alfonso,,,Huila,Categoría Religiosa,Villavieja,Ord. 040 de 2001
Iglesia de San Luís,,,Huila,Categoría Religiosa,Neiva,Ord. 025 de 1993 - 040 de 2001
Iglesia del Caguán,,,Huila,Categoría Religiosa,Neiva,Ord. 007 de 1992
Iglesia del Rosario,,,Huila,Categoría Religiosa,Garzón,Ord. 025 de 1993 - 040 de 2001
Iglesia inspección de Otás,,,Huila,Categoría Religiosa,Campoalegre,Ord. 007 de 1992
Iglesia parroquial,,,Huila,Categoría Religiosa,Villavieja,Ord. 007 de 1992
Legado Musical Jorge Villamil Cordovez,https://www.huila.gov.co/cultura-y-turismo/publicaciones/6140/legado-musical/,"Aporte Artistico- Musical | Jorge Villamil en sus canciones interpreta los sentimientos populares a traves de bambucos, pasillos, rajalenas, valses, joropos, guabinas y sanjuaneros que describen los paisajes, la belleza de las mujeres, los amores y desamores, las fiestas y los recuerdos de este prolifico compositor musical que tuvo como escenario de sus compositores toda la geografia colombiana. Entre su extenso legado musical figuran canciones que han hecho historia a lo largo y ancho del pais y en el exterior como Espuma, Al sur, El Barcino, Los Guaduales, Llamarada. Oropel, Brumas, Luna Roja, Si pasas por San Gil, Cantemos a la paz, el Yariceno, La Vaqueria, Los remansos, Noches de Plata, Llano Grande, El Canalete, Tambores de Pacande, Asi es Colombia, Matambo, Ibague tradicional y muchas otras cuyos nombres aparecen en el libro Huellas de Villamil del escritos Vicente Silva Vargas que describe magistralmente la vida y la obra del compositor. | Reconocimiento en el Huila EL Maestro Villamil ha recibido en el Huila significativos reconocimiento. En su honor el municipio de Neiva, con el nombre de “Cuidad Villamil”, construyo once (11) monumentos en representacion de igual numero de canciones, una Concha Acustica construida en el centro de la ciudad lleva su nombre. Y el concurso de composicion mas importante de Colombia, que se realiza en Neiva durante el Festival del Bambuco, tambien lo lleva. | Distinciones Nacionales Recibidas La cruz de Boyaca de la Presidencia de la republica, la Cruz de Comendador del Congreso, La Orden de la Democracia de la Camara de Representantes, la Gran Orden del Ministerio de Cultura, las Ordenes del Bunde, Pacande, al Merito Artistico y Martin Pomala por estamentos del Tolima, las Medallas de la Guabina, y el Tiple, Lorenzo Alcantuz, y Jose Antonio Galan, de Santander, La Cruz de Belalcazar de Cali, la Cruz de Oro del Valle del Cauca y 20 mas de distintos lugares de Colombia. | En su tierra natal ha recibido la Orden del Taitapuro, las Medalla Diego de Ospina y Medinilla, La Gaitana y la voragine, el Tambor de Oro, el Garzon de Oro y las Ordenes Joaquin Garcia Borrero y Jose Eustasio rivera. La “Orden de la Huilensidad” por la Fundacion por la Huilensidad “Jorge Villamil Cordovez” 2007. | Historia El Museo de la huilensidad “JORGE VILLAMIL”, es el resultado del esfuerzo de un grupo de huilenses que por iniciativa de la Reina Nacional del Bambuco Larissa Fernanda Calderon Ortiz, decidio impulsar su creacion como un legado de su reinado. La idea de impulsarlo acogio la recomendacion que al respecto hizo en el ano 2000 la Corporacion Huila Futuro, evitando asi que otros departamentos, como el Quindio y Antioquia, le arrebatara a este Departamento ese derecho teniendo en cuenta que el Maestro Villamil es huilense. | El punto de partida para desarrollar el proyecto fue la constitucion de la Fundacion por la Huilensidad “JORGE VILLAMIL”, con la mision de promoverlo, impulsarlo y adelantar las gestiones para montarlo y ponerlo al servicio del fortalecimiento de la cultura regional y el turismo del Huila. El Museo empezo a concretarse con la donacion que el Maestro le hizo a la Fundacion de la coleccion de 382 piezas museologicas y de la destinacion que hicieron los estudios, se elaboro el Guion y se efectuo el montaje por expertos contratados para el efecto. | A la coleccion de piezas donadas por el Maestro Villamil se le agregaron las aportadas por la Fundacion y por particulares. Uno de los casos mas significativos lo fue el aporte de la replica, construida a escala, de la que fue la casa de la hacienda del Cedral, que fuera de su padre, Jorge Villamil Ortega, en donde el compositor se crio y abrevo de los peones de la finca cafetera y de los campesinos de la zona de Vegalarga en el municipio de Neiva, las tonadas y el estilo autoctono de muchas de las 180 canciones que ha compuesto. Precisamente una de sus mas famosas canciones es “Hacienda del Cedral” que el artista evoca cuando canta “te llevo en mi cantar/ te llevo yo en mi recuerdo/ en esta tierra naci/ en ella tambien vivi/ y en ella quiero mi entierro”. | Ubicacion | Tercer piso del Bloque Cultural del Centro de Convenciones ""Jose Eustasio Rivera"", Neiva. Directora: Mari­a Ruth Arboleda",Huila,Categoria Museos,Desconocido,
Mausoleo Tumba del Padre Pedro María Ramírez,,,Huila,Categoría Funeraria,La Plata,Ord. 040 de 2001
Molino El Triunfo,,,Huila,Categoría Industrial,Garzón,Ord. 025 de 1993 - 040 de 2001
Museo Arqueologico,http://turismo.huila.gov.co/museo/54,,Huila,Categoria Museos,Neiva,
Museo Arqueologico Villa de la Gaitana Timana,http://turismo.huila.gov.co/museo/57,,Huila,Categoria Museos,Neiva,
Museo Arte Contemporaneo del Huila,https://www.huila.gov.co/cultura-y-turismo/publicaciones/6141/museo-arte-contemporaneo-del-huila/,"Resena Historica | El museo nace por la necesidad de la Gobernacion de mostrar y proyectar las obras adquiridas hasta el momento por los artistas de nuestro Departamento. | El dia trece (13) de Marzo de 2001 por invitacion del secretario de Cultura se realizo la socializacion del Museo con la participacion de los Medios de Comunicacion, Academicos, Representantes de las ONGs, Municipios, Universidades, etc., Firmandose acta de intension para la creacion del mismo. | En el mes de Junio de 2002 el Gobierno Departamental presenta ante Planeacion el proyecto denominado Consolidacion y puesta en marcha del Museo de Arte Contemporaneo del Huila MACH. | Efectivamente y con la participacion aproximada de 300 personas se dio apertura al Museo de Arte Contemporaneo del Huila MACH, el dia diez (10) de Octubre de 2003 | Con el objetivo que la comunidad artistica, los amantes del arte y comunidad en general expresen sus aportes e inquietudes se ha creado un Blog donde se indica ademas de la historia las diferentes programaciones del Museo. | Servicios | La Secretaria de Cultura y Turismo del Huila, ofrece a los artistas de la region tres salas de exposicion, para que muestren su produccion, permitiendo que la comunidad educativa, los docentes, los investigadores y publico en general conozcan el patrimonio en el area de las artes visuales. Tambien se posibilita el intercambio con artistas de otras regiones. Se ofrecen visitas guiadas especializadas a estudiantes de colegios, universidades, publico en general y turistas que visitan la ciudad. | Ubicacion | Municipio de Neiva Carrera 5 # 21 - 81 Centro Cultural y de convenciones Jose Eustasio Rivera, segundo piso. Tipo de coleccion: Pinturas, Grabados, Fotografi­as, Moviles, Ensambles, y Esculturas de Artistas Huilenses Nacionales e Internacionales. No. de obras: 310 | Horario al publico Lunes a Viernes. 9:00 am - 12:00 m. 2:30 pm - 6:00 pm. | La entrada libre.",Huila,Categoria Museos,Neiva,
Museo Geologico del Petroleo,http://turismo.huila.gov.co/museo/6,,Huila,Categoria Museos,Neiva,
Museo de Arte Contemporaneo del Huila,http://turismo.huila.gov.co/museo/8,,Huila,Categoria Museos,Neiva,
Palacio Episcopal,,,Huila,Categoría Domestica,Garzón,Ord. 025 de 1993 - 040 de 2001
Piedrapintada,,,Huila,Categoría Arqueológica,Aipe,Ord. 025 de 1992
Puente sobre el Río Baché vía San Luis,,,Huila,Categoría Infraestructura,Palermo,Ord. 025 de 1993 Ord. 040 de 2001
Sala de Museo Jorge Villamiel Cordovez,https://www.huila.gov.co/cultura-y-turismo/publicaciones/6139/sala-museo-jorge-villamil/,"HISTORIA El Museo de la huilensidad “JORGE VILLAMIL”, es el resultado del esfuerzo de un grupo de huilenses que por iniciativa de la Reina Nacional del Bambuco Larissa Fernanda Calderon Ortiz, decidio impulsar su creacion como un legado de su reinado. La idea de impulsarlo acogio la recomendacion que al respecto hizo en el ano 2000 la Corporacion Huila Futuro, evitando asi que otros departamentos, como el Quindio y Antioquia, le arrebatara a este Departamento ese derecho teniendo en cuenta que el Maestro Villamil es huilense. | El punto de partida para desarrollar el proyecto fue la constitucion de la Fundacion por la Huilensidad “JORGE VILLAMIL”, con la mision de promoverlo, impulsarlo y adelantar las gestiones para montarlo y ponerlo al servicio del fortalecimiento de la cultura regional y el turismo del Huila. El Museo empezo a concretarse con la donacion que el Maestro le hizo a la Fundacion de la coleccion de 382 piezas museologicas y de la destinacion que hicieron los estudios, se elaboro el Guion y se efectuo el montaje por expertos contratados para el efecto. | A la coleccion de piezas donadas por el Maestro Villamil se le agregaron las aportadas por la Fundacion y por particulares. Uno de los casos mas significativos lo fue el aporte de la replica, construida a escala, de la que fue la casa de la hacienda del Cedral, que fuera de su padre, Jorge Villamil Ortega, en donde el compositor se crio y abrevo de los peones de la finca cafetera y de los campesinos de la zona de Vegalarga en el municipio de Neiva, las tonadas y el estilo autoctono de muchas de las 180 canciones que ha compuesto. Precisamente una de sus mas famosas canciones es “Hacienda del Cedral” que el artista evoca cuando canta “te llevo en mi cantar/ te llevo yo en mi recuerdo/ en esta tierra naci/ en ella tambien vivi/ y en ella quiero mi entierro”. | UBICACION | Tercer piso del Bloque Cultural del Centro de Convenciones ""Jose Eustasio Rivera"", Neiva. Directora: Mari­a Ruth Arboleda",Huila,Categoria Museos,Neiva,
Sitio Arqueológico Vereda La Gaitana,,,Huila,Categoría Arqueológica,San Agustín,Ord. 040 de 2001
Teatro Cincuentenario,,,Huila,Categoría Teatro,Neiva,Ord. 025 de 1993 Ord. 040 de 2001
Templo Colonial,,,Huila,Categoría Religiosa,Paicol,Ord. 007 de 1993 - 040 de 2001
Templo Colonial,,,Huila,Categoría Religiosa,Palermo,Ord. 007 de 1992
Templo La Inmaculada Concepción,,,Huila,Categoría Religiosa,Neiva,Ord. 007 de 1992
Templo de Monserrate,,,Huila,Categoría Religiosa,La Plata,Ord. 040 de 2001
Templo de Pacarní,,,Huila,Categoría Religiosa,Tesalia,Ord. 040 de 2001
Templo de San Antonio,,,Huila,Categoría Religiosa,Pitalito,Ord. 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Garzón,Ord. 025 de 1993 - 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Hobo,Ord. 025 de 1993 - 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Iquira,Ord. 025 de 1993 - 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Paicol,Ord. 025 de 1993 - 040 de 2001
Zona Urbana Central,,,Huila,Categoría Urbanística,Saladoblanco,Ord. 025 de 1993
Zona Urbana Central Fortalecillas,,,Huila,Categoría Urbanística,Neiva,Ord. 025 de 1993 - 040 de 2001
